label,year,day,length,weight,count,looped,neighbors,income,income_per_day
0,2017,335,-0.7806593940688382,0.3051360198749572,-0.4264988402306113,-0.2457843418449831,0.100089719446241,0.14120588784075885,0.0004215101129574891
0,2017,334,1.6853731328674872,-0.1159244375302215,1.3294596220143453,-0.24681919409563804,-0.0673325611171944,-0.3948461052388369,-0.0011821739677809488
0,2016,271,-0.7111936890847164,-0.11445021562172066,-0.4264988402306113,-0.24681919409563804,-0.01152513426271594,-0.6217470553221419,-0.002294269576834472
0,2016,278,1.6853731328674872,-0.06417409680932676,2.4622215016020927,-0.24681919409563804,-0.0673325611171944,0.6667947625885068,0.002398542311469449
0,2017,5,-0.7111936890847164,-0.01238869887928572,-0.4264988402306113,-0.24681919409563804,-0.01152513426271594,-0.26848320307609647,-0.053696640615219296
0,2017,90,-0.6764608365926554,-0.06341945725050319,-0.4264988402306113,-0.2457843418449831,0.04428229259176253,0.7143004141005026,0.007936671267783363
0,2016,277,-0.6764608365926554,-0.01238869887928572,-0.4264988402306113,-0.24681919409563804,-0.01152513426271594,-0.9349117428238535,-0.0033751326455734782
0,2017,46,1.6853731328674872,-0.10092230208003329,1.8567798073396762,-0.24681919409563804,-0.01152513426271594,-0.04158225211964797,-0.0009039620026010429
0,2016,259,-0.7806593940688382,0.2597753457672074,-0.42590701061745156,-0.24681919409563804,-0.01152513426271594,-0.7865146408928978,-0.0030367360652235435
0,2016,345,1.6853731328674872,0.17862138527056737,1.1856450260165279,-0.24681919409563804,0.04428229259176253,-0.26848320307609647,-0.0007782121828292651
0,2017,76,1.6853731328674872,0.22575551460761925,4.352525286034311,8.107543025441876,0.21170457315519792,0.3548617161797334,0.004669233107628071
1,2016,292,1.6853731328674872,-0.13453197774314848,0.3073698800874697,-0.24681919409563804,-0.01152513426271594,-0.22464410623544087,-0.0007693291309432906
2,2017,31,-0.7459265415767773,-0.01238869887928572,-0.4264988402306113,-0.24681919409563804,-0.01152513426271594,-1.0096367891007008,-0.03256892868066777
2,2017,31,1.6853731328674872,-0.08528490522240421,1.461437625748968,-0.24681919409563804,-0.01152513426271594,-1.0096367891007008,-0.03256892868066777
2,2017,64,-0.6764608365926554,0.12369332344396085,-0.4264988402306113,-0.24681919409563804,-0.01152513426271594,-1.1641788739568932,-0.018190294905576457
